Date;UG.PA
2020-01-02;21.74
2020-01-03;21.32
2020-01-06;20.98
2020-01-07;21.18
2020-01-08;20.94
2020-01-09;20.89
2020-01-10;20.87
2020-01-13;20.69
2020-01-14;20.5
2020-01-15;19.96
2020-01-16;19.92
2020-01-17;19.795
2020-01-20;19.76
2020-01-21;19.52
2020-01-22;19.425
2020-01-23;19.12
2020-01-24;19.27
2020-01-27;18.735
2020-01-28;19.13
2020-01-29;19.395
2020-01-30;19.125
2020-01-31;18.61
2020-02-03;18.9
2020-02-04;19.2
2020-02-05;19.58
2020-02-06;19.88
2020-02-07;19.4
2020-02-10;18.95
2020-02-11;19.17
2020-02-12;20.12
2020-02-13;19.7
2020-02-14;19.37
2020-02-17;19.56
2020-02-18;19.34
2020-02-19;19.5
2020-02-20;19.435
2020-02-21;19.14
2020-02-24;17.805
2020-02-25;17.685
2020-02-26;18.525
2020-02-27;18.175
2020-02-28;17.505
2020-03-02;16.755
2020-03-03;16.925
2020-03-04;17.105
2020-03-05;16.69
2020-03-06;16.15
2020-03-09;14.31
2020-03-10;13.895
2020-03-11;14.095
2020-03-12;11.555
2020-03-13;11.89
2020-03-16;11.035
2020-03-17;11.0
2020-03-18;9.56
2020-03-19;10.035
2020-03-20;11.31
2020-03-23;10.82
2020-03-24;11.97
2020-03-25;12.3
2020-03-26;12.59
2020-03-27;12.065
2020-03-30;11.77
2020-03-31;12.165
2020-04-01;11.375
2020-04-02;11.86
2020-04-03;11.815
2020-04-06;12.875
2020-04-07;13.64
2020-04-08;13.33
2020-04-09;13.415
2020-04-14;12.63
2020-04-15;11.75
2020-04-16;11.295
2020-04-17;11.7
2020-04-20;11.665
2020-04-21;11.695
2020-04-22;12.38
2020-04-23;12.4
2020-04-24;12.385
2020-04-27;12.59
2020-04-28;13.0
2020-04-29;13.68
2020-04-30;13.075
2020-05-04;12.57
2020-05-05;13.015
2020-05-06;13.07
2020-05-07;12.94
2020-05-08;13.425
2020-05-11;13.14
2020-05-12;12.815
2020-05-13;12.05
2020-05-14;11.42
2020-05-15;11.515
2020-05-18;12.27
2020-05-19;11.58
2020-05-20;11.615
2020-05-21;11.39
2020-05-22;11.525
2020-05-25;12.24
2020-05-26;12.945
